"student","height","time"
1,140.5,-1
1,143.4,0
1,144.8,1
1,147.1,2
1,147.7,3
1,150.2,4
1,151.7,5
1,153.3,6
1,155.8,7
2,136.9,-1
2,139.1,0
2,140.1,1
2,142.6,2
2,143.2,3
2,144,4
2,145.8,5
2,146.8,6
2,148.3,7
3,150,-1
3,152.1,0
3,153.9,1
3,155.8,2
3,156,3
3,156.9,4
3,157.4,5
3,159.1,6
3,160.6,7
4,155.7,-1
4,158.7,0
4,160.6,1
4,163.3,2
4,164.4,3
4,167.3,4
4,170.7,5
4,172,6
4,174.8,7
5,145.8,-1
5,147.3,0
5,148.7,1
5,149.78,2
5,150.22,3
5,152.5,4
5,154.8,5
5,156.4,6
5,158.7,7
6,142.4,-1
6,143.8,0
6,145.2,1
6,146.3,2
6,147.1,3
6,148.1,4
6,148.9,5
6,149.1,6
6,151,7
7,141.3,-1
7,142.4,0
7,144.3,1
7,145.2,2
7,146.1,3
7,146.8,4
7,147.9,5
7,150.5,6
7,151.8,7
8,141.7,-1
8,143.7,0
8,145.1,1
8,147.9,2
8,148.1,3
8,149.6,4
8,150.99,5
8,154.1,6
8,154.9,7
9,132.7,-1
9,134.1,0
9,135.3,1
9,136.6,2
9,137.5,3
9,139.1,4
9,140.9,5
9,143.7,6
9,144.7,7
10,126.2,-1
10,128.2,0
10,129,1
10,129.4,2
10,129.59,3
10,130.6,4
10,132.5,5
10,133.4,6
10,134.2,7
11,142.5,-1
11,143.8,0
11,145.6,1
11,148.3,2
11,149.4,3
11,151.6,4
11,154.8,5
11,156.9,6
11,159.2,7
12,149.9,-1
12,151.7,0
12,153.3,1
12,156.1,2
12,156.7,3
12,157.8,4
12,160.7,5
12,162.7,6
12,163.8,7
13,148.9,-1
13,149.8,0
13,151.7,1
13,154.4,2
13,155.5,3
13,156.4,4
13,161.4,5
13,163.9,6
13,164.6,7
14,151.6,-1
14,153.2,0
14,155.2,1
14,157.3,2
14,159.1,3
14,160.9,4
14,164.4,5
14,166.9,6
14,168.4,7
15,137.5,-1
15,139.3,0
15,140.9,1
15,142.7,2
15,144.2,3
15,145.7,4
15,147.09,5
15,150.2,6
15,152.3,7
16,142.8,-1
16,144.9,0
16,145,1
16,146.7,2
16,147.2,3
16,148.9,4
16,150.1,5
16,151,6
16,152.2,7
17,134.9,-1
17,137.4,0
17,138.2,1
17,140.2,2
17,143.6,3
17,144.2,4
17,147.9,5
17,150.3,6
17,151.8,7
18,145.5,-1
18,146.2,0
18,148.2,1
18,150.3,2
18,152,3
18,152.3,4
18,154.3,5
18,156.2,6
18,156.8,7
19,156.9,-1
19,157.9,0
19,160.3,1
19,161.9,2
19,163.8,3
19,165.5,4
19,169.9,5
19,172.4,6
19,174.4,7
20,146.5,-1
20,148.4,0
20,149.3,1
20,151.2,2
20,152.1,3
20,152.4,4
20,153.9,5
20,154.9,6
20,155.4,7
21,143.9,-1
21,145.1,0
21,147,1
21,149.2,2
21,149.8,3
21,151.5,4
21,153.17,5
21,156.9,6
21,159.6,7
22,147.4,-1
22,148.8,0
22,150.1,1
22,152.5,2
22,154.7,3
22,156,4
22,158.4,5
22,161.5,6
22,163.3,7
23,144.5,-1
23,146,0
23,147.4,1
23,149.2,2
23,150.8,3
23,152.5,4
23,155,5
23,156.8,6
23,158.8,7
24,147.8,-1
24,148.2,0
24,150.2,1
24,151,2
24,152.2,3
24,153.6,4
24,155.8,5
24,159.2,6
24,161.6,7
25,135.5,-1
25,136.6,0
25,137.3,1
25,138.2,2
25,139,3
25,139.5,4
25,141,5
25,142.7,6
25,143.9,7
26,132.2,-1
26,134.3,0
26,135.1,1
26,136.7,2
26,138.4,3
26,138.9,4
26,141.8,5
26,142.6,6
26,143.1,7
